index,expected_raw,expected,label_alias_applied,predicted,confidence,top1_correct,topk_contains_expected,expected_in_vocab,input_frames,effective_frames,elapsed_sec,error,file,top_k_labels
47,방금,방금,False,칠십오억,0.45753592252731323,False,False,True,52,52,3.974,,/home/moon/Downloads/self-made-60/방금.mp4,칠십오억 | 칠십 | 철원군수어통역센터 | 표리부동 | 괴팍하다
48,배부르다,배부르다,False,합의,0.6368354558944702,False,False,True,45,45,3.19,,/home/moon/Downloads/self-made-60/배부르다.mp4,합의 | 원주시지부 | 오른쪽 | 폐업1 | 결심
49,백화점,백화점,False,재벌,0.26711347699165344,False,False,True,56,56,3.807,,/home/moon/Downloads/self-made-60/백화점.mp4,재벌 | 원주시청 | 사백억 | 뚱뚱하다 | 오른쪽
50,버릇,버릇,False,공휴일,0.9409905672073364,False,False,True,52,52,3.731,,/home/moon/Downloads/self-made-60/버릇.mp4,공휴일 | 칠십오억 | 자살 | 동상이몽 | 공식
51,베트남,베트남,False,사백억,0.2651454210281372,False,False,True,41,41,3.026,,/home/moon/Downloads/self-made-60/베트남.mp4,사백억 | 추출 | 아프다 | 삼백이십 | 이십오억
52,별,별,False,양양군주민지원센터,0.2029159516096115,False,False,True,64,64,4.452,,/home/moon/Downloads/self-made-60/별.mp4,양양군주민지원센터 | 방금 | 혈액형 | 자다 | 백삼십육
53,병가,병가,False,삼백억,0.6373162269592285,False,False,True,64,64,4.352,,/home/moon/Downloads/self-made-60/병가.mp4,삼백억 | 삼십오억 | 삼백이십 | 이백억 | 삼백육십
54,병문안,병문안,False,신학,0.17412924766540527,False,False,True,64,64,4.431,,/home/moon/Downloads/self-made-60/병문안.mp4,신학 | 이십오 | 근근이 | 공식발표 | 미행
55,분필,분필,False,칠십오억,0.49955835938453674,False,False,True,60,60,4.011,,/home/moon/Downloads/self-made-60/분필.mp4,칠십오억 | 구십오억 | 매형 | 이백이십 | 팔십오억
56,불행,불행,False,칠십오억,0.9786171317100525,False,False,True,48,48,3.31,,/home/moon/Downloads/self-made-60/불행.mp4,칠십오억 | 구십오억 | 구십억 | 팔백억 | 팔십오억
57,비,비,False,팔백억,0.3921799063682556,False,False,True,58,58,4.006,,/home/moon/Downloads/self-made-60/비.mp4,팔백억 | 사백억 | 포기 | 무소식 | 삼백억
58,비빔밥,비빔밥,False,금천,0.2484780251979828,False,False,True,59,59,4.018,,/home/moon/Downloads/self-made-60/비빔밥.mp4,금천 | 금천구지부 | 팔십오 | 다리 | 금천구청
59,비율,비율,False,올림픽공원,0.4968169331550598,False,False,True,50,50,3.505,,/home/moon/Downloads/self-made-60/비율.mp4,올림픽공원 | 공식 | 없다 | 조상 | 운전면허갱신
60,살인,살인,False,원주시지부,0.6464554071426392,False,False,True,53,53,3.733,,/home/moon/Downloads/self-made-60/살인.mp4,원주시지부 | 대출 | 소지자 | 8번째 | 빈혈
